# Mimic Probe Log - Unmatched probes for gap analysis
# Format: timestamp|service|port|protocol|source|length|first_32_bytes|full_hex
#
2026-02-05T15:58:29-05:00|msrpc|135|tcp|10.0.250.225:46860|32|001e0006010000010000000000000776657273696f6e0462696e640000100003|001e0006010000010000000000000776657273696f6e0462696e640000100003
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60254|4|0d0a0d0a|0d0a0d0a
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60270|18|474554202f20485454502f312e300d0a0d0a|474554202f20485454502f312e300d0a0d0a
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60278|22|4f5054494f4e53202f20485454502f312e300d0a0d0a|4f5054494f4e53202f20485454502f312e300d0a0d0a
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60292|22|4f5054494f4e53202f20525453502f312e300d0a0d0a|4f5054494f4e53202f20525453502f312e300d0a0d0a
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60298|44|8000002872fe1d130000000000000002000186a00001977c0000000000000000|8000002872fe1d130000000000000002000186a00001977c0000000000000000000000000000000000000000
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60300|32|001e0006010000010000000000000776657273696f6e0462696e640000100003|001e0006010000010000000000000776657273696f6e0462696e640000100003
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60314|14|000c000010000000000000000000|000c000010000000000000000000
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60326|6|48454c500d0a|48454c500d0a
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60332|88|16030000530100004f03003f47d7f7ba2ceeeab2607ef300fd827bb9d596c877|16030000530100004f03003f47d7f7ba2ceeeab2607ef300fd827bb9d596c8779be6c4db3c3ddb6fef106e00002800160013000a006600050004006500640063006200610060001500120009001400110008000600030100
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60346|42|0300002a25e00000000000436f6f6b69653a206d737473686173683d6e6d6170|0300002a25e00000000000436f6f6b69653a206d737473686173683d6e6d61700d0a0100080003000000
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60350|110|1603000069010000650303551ca7e472616e646f6d3172616e646f6d3272616e|1603000069010000650303551ca7e472616e646f6d3172616e646f6d3272616e646f6d3372616e646f6d3400000c002f000a00130039000400ff01000030000d002c002a000100030002060106030602020102030202030103030302040104030402010101030102050105030502
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60358|117|000000716a816e30816ba103020105a20302010aa4815e305ca0070305005080|000000716a816e30816ba103020105a20302010aa4815e305ca00703050050800010a2041b024e4da3173015a003020100a10e300c1b066b72627467741b024e4da511180f31393730303130313030303030305aa70602041f1eb9d9a8173015020112020111020110020117020101020103020102
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60368|12|6c000b000000000000000000|6c000b000000000000000000
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60378|53|474554202f6e696365253230706f7274732532432f5472692536456974792e74|474554202f6e696365253230706f7274732532432f5472692536456974792e74787425326562616b20485454502f312e300d0a0d0a
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60382|9|0164656661756c740a|0164656661756c740a
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60384|51|30840000002d02010763840000002404000a01000a0100020100020164010100|30840000002d02010763840000002404000a01000a0100020100020164010100870b6f626a656374436c617373308400000000
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60396|14|300c020101600702010204008000|300c020101600702010204008000
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60410|223|4f5054494f4e53207369703a6e6d205349502f322e300d0a5669613a20534950|4f5054494f4e53207369703a6e6d205349502f322e300d0a5669613a205349502f322e302f544350206e6d3b6272616e63683d666f6f0d0a46726f6d3a203c7369703a6e6d406e6d3e3b7461673d726f6f740d0a546f3a203c7369703a6e6d32406e6d323e0d0a43616c6c2d49443a2035303030300d0a435365713a203432204f5054494f4e530d0a4d61782d466f7277617264733a2037300d0a436f6e74656e742d4c656e6774683a20300d0a436f6e746163743a203c7369703a6e6d406e6d3e0d0a4163636570743a206170706c69636174696f6e2f7364700d0a0d0a
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60412|16|544e4d5004000000544e4d4500000400|544e4d5004000000544e4d4500000400
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60414|11|0300000b06e00000000000|0300000b06e00000000000
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60428|23|446d6454000000170000000100000000111100ff01ff13|446d6454000000170000000100000000111100ff01ff13
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60434|60|3a0000002f00000002000040020f0001003d050000000000000000000000002f|3a0000002f00000002000040020f0001003d050000000000000000000000002f000000000000000000401f0000000000000000000000000000000000
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60444|7|4a524d4900024b|4a524d4900024b
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60458|175|010000fdcefa0bb0a00000004d4d531400000000000000000000000000000012|010000fdcefa0bb0a00000004d4d53140000000000000000000000000000001200000001000300f0f0f0f00b0004001c0003004e00530050006c0061007900650072002f0039002e0030002e0030002e0032003900380030003b0020007b00300030003000300041004100300030002d0030004100300030002d0030003000610030002d0041004100300041002d003000300030003000410030004100410030004100410030007d000000e06ddf5f
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60470|90|005a0000010000000136012c000008007fff7f08000000010020003a00000000|005a0000010000000136012c000008007fff7f08000000010020003a0000000000000000000000000000000034e600000001000000000000000028434f4e4e4543545f444154413d28434f4d4d414e443d76657273696f6e2929
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60486|52|1201003400000000000015000601001b000102001c000c0300280004ff080001|1201003400000000000015000601001b000102001c000c0300280004ff080001550000004d5353514c53657276657200480f0000
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60496|18|000300010000000000000002000000000f00|000300010000000000000002000000000f00
2026-02-05T15:58:34-05:00|smb|445|tcp|10.0.250.225:60504|48|47494f5001000100240000000000000001000000010000000600000061626364|47494f500100010024000000000000000100000001000000060000006162636465660000040000006765740000000000
2026-02-05T15:58:46-05:00|nbns|137|udp|10.0.250.225:46791|50|13370000000100000000000020434b4141414141414141414141414141414141|13370000000100000000000020434b4141414141414141414141414141414141414141414141414141414141410000210001
2026-02-05T15:58:46-05:00|smb|445|tcp|10.0.250.225:60020|110|1603000069010000650303551ca7e472616e646f6d3172616e646f6d3272616e|1603000069010000650303551ca7e472616e646f6d3172616e646f6d3272616e646f6d3372616e646f6d3400000c002f000a00130039000400ff01000030000d002c002a000100030002060106030602020102030202030103030302040104030402010101030102050105030502
2026-02-05T15:58:46-05:00|nbns|137|udp|10.0.250.225:55711|50|13370000000100000000000020434b4141414141414141414141414141414141|13370000000100000000000020434b4141414141414141414141414141414141414141414141414141414141410000210001
2026-02-05T15:58:46-05:00|smb|445|tcp|10.0.250.225:60024|88|16030000530100004f03003f47d7f7ba2ceeeab2607ef300fd827bb9d596c877|16030000530100004f03003f47d7f7ba2ceeeab2607ef300fd827bb9d596c8779be6c4db3c3ddb6fef106e00002800160013000a006600050004006500640063006200610060001500120009001400110008000600030100
2026-02-05T15:58:58-05:00|smb|445|tcp|10.0.250.225:913|44|80000028392569e60000000000000002000186a0000000020000000000000000|80000028392569e60000000000000002000186a0000000020000000000000000000000000000000000000000
2026-02-05T16:00:11-05:00|msrpc|135|tcp|10.0.250.225:55046|32|001e0006010000010000000000000776657273696f6e0462696e640000100003|001e0006010000010000000000000776657273696f6e0462696e640000100003
2026-02-05T16:00:16-05:00|smb|445|tcp|10.0.250.225:46036|4|0d0a0d0a|0d0a0d0a
2026-02-05T16:00:16-05:00|smb|445|tcp|10.0.250.225:46042|18|474554202f20485454502f312e300d0a0d0a|474554202f20485454502f312e300d0a0d0a
2026-02-05T16:00:16-05:00|smb|445|tcp|10.0.250.225:46044|22|4f5054494f4e53202f20485454502f312e300d0a0d0a|4f5054494f4e53202f20485454502f312e300d0a0d0a
2026-02-05T16:00:16-05:00|smb|445|tcp|10.0.250.225:46060|22|4f5054494f4e53202f20525453502f312e300d0a0d0a|4f5054494f4e53202f20525453502f312e300d0a0d0a
